#	snr = 15db, deltaF1 = 0, deltaF2 = 0, length = 60 bytes
#	time			In-phase		Quad-phase
   2.1625000e-05   4.9377231e+01  -3.9917520e+01
   2.1687500e-05   7.2294952e+01  -4.0280547e+01
   2.1750000e-05   4.7268024e+01  -5.0731558e+01
   2.1812500e-05   1.8621537e+01  -5.9909511e+01
   2.1875000e-05   3.7162395e+01  -6.2999875e+01
   2.1937500e-05   1.5200821e+01  -7.1070742e+01
   2.2000000e-05   1.1000000e+01  -6.2282188e+01
   2.2062500e-05  -1.6355572e+01  -6.9468130e+01
   2.2125000e-05  -3.2889638e+01  -6.5353877e+01
   2.2187500e-05  -3.8107443e+01  -3.7079718e+01
   2.2250000e-05  -4.0154122e+01  -4.6927207e+01
   2.2312500e-05  -4.6716992e+01  -1.8098130e+01
   2.2375000e-05  -7.1892196e+01  -1.8877610e+01
   2.2437500e-05  -4.4792201e+01  -9.0000000e+00
   2.2500000e-05  -5.5603308e+01   1.0000000e+01
   2.2562500e-05  -5.1940183e+01   2.2556202e+01
   2.2625000e-05  -6.6500302e+01   1.4068812e+01
   2.2687500e-05  -3.2865867e+01   3.3128449e+01
   2.2750000e-05  -2.6071367e+01   5.5684288e+01
   2.2812500e-05  -3.7717209e+01   4.3974013e+01
   2.2875000e-05   7.0000000e+00   6.9215538e+01
   2.2937500e-05  -8.0000000e+00   5.8484681e+01
   2.3000000e-05  -1.3000000e+01   4.8140009e+01
   2.3062500e-05   2.2975660e+01   6.6136624e+01
   2.3125000e-05   3.6283428e+01   5.2149729e+01
   2.3187500e-05   4.8754629e+01   4.3103317e+01
   2.3250000e-05   2.6836761e+01   2.5297328e+01
   2.3312500e-05   5.4303046e+01   1.2000000e+01
   2.3375000e-05   5.6876378e+01   2.3075759e+01
   2.3437500e-05   5.9542846e+01   1.3784901e+01
   2.3500000e-05   3.6125303e+01   7.0000000e+00
   2.3562500e-05   6.0261423e+01  -2.4667612e+01
   2.3625000e-05   4.9438279e+01  -3.7012818e+01
   2.3687500e-05   4.2444323e+01  -3.5448316e+01
   2.3750000e-05   3.3015446e+01  -5.3837865e+01
   2.3812500e-05   1.3342130e+01  -5.6285568e+01
   2.3875000e-05   4.0218499e+01  -4.3105773e+01
   2.3937500e-05   2.6028834e+01  -4.4164635e+01
   2.4000000e-05   5.0029448e+01  -3.0588121e+01
   2.4062500e-05   4.5605943e+01  -2.1544162e+01
   2.4125000e-05   6.6430896e+01  -3.0842702e+01
   2.4187500e-05   5.2390619e+01   1.3750544e+01
   2.4250000e-05   4.3430749e+01   2.7402840e+01
   2.4312500e-05   4.9906635e+01   3.3986683e+01
   2.4375000e-05   3.7527640e+01   3.8767385e+01
   2.4437500e-05   4.1940573e+01   4.4357227e+01
   2.4500000e-05   2.3940116e+01   4.3113323e+01
   2.4562500e-05   1.0000000e+01   4.2131359e+01
   2.4625000e-05  -1.3000000e+01   4.3861000e+01
   2.4687500e-05  -1.3496343e+01   4.0687307e+01
   2.4750000e-05   1.0000000e+00   5.0580144e+01
   2.4812500e-05  -1.7000480e+01   2.9411466e+01
   2.4875000e-05  -2.1490702e+01   3.1511909e+01
   2.4937500e-05  -5.4335510e+01   3.8098716e+01
   2.5000000e-05  -4.5168397e+01   4.6427249e+01
   2.5062500e-05  -2.3662298e+01   1.8643825e+01
   2.5125000e-05  -4.8874124e+01   2.5502056e+01
   2.5187500e-05  -6.1406490e+01   9.0000000e+00
   2.5250000e-05  -5.0672041e+01   4.0000000e+00
   2.5312500e-05  -3.1028452e+01  -3.2015121e+01
   2.5375000e-05  -3.9120692e+01   1.1000000e+01
   2.5437500e-05  -5.0433141e+01  -3.0000000e+00
   2.5500000e-05  -3.2925198e+01  -5.0000000e+00
   2.5562500e-05  -4.4521922e+01   1.5101682e+01
   2.5625000e-05  -4.3027102e+01   2.2976906e+01
   2.5687500e-05  -3.8409878e+01   3.4600729e+01
   2.5750000e-05  -2.0958472e+01   4.8553246e+01
   2.5812500e-05  -2.0296086e+01   3.6506234e+01
   2.5875000e-05  -2.7245428e+01   4.6379013e+01
   2.5937500e-05  -3.5141022e+01   3.7983303e+01
   2.6000000e-05  -2.4931893e+01   1.8049085e+01
   2.6062500e-05  -4.5635400e+01   1.8951085e+01
   2.6125000e-05  -4.0419081e+01   8.0000000e+00
   2.6187500e-05  -4.2319322e+01   1.1000000e+01
   2.6250000e-05  -2.3639161e+01   8.0000000e+00
   2.6312500e-05  -2.7098339e+01  -1.7126814e+01
   2.6375000e-05  -2.6219643e+01  -1.4555188e+01
   2.6437500e-05  -2.8877847e+01  -3.3479930e+01
   2.6500000e-05  -2.6130001e+01  -3.6636546e+01
   2.6562500e-05  -1.4164931e+01  -3.2433360e+01
   2.6625000e-05  -2.1774620e+01  -3.4915925e+01
   2.6687500e-05   4.0000000e+00  -3.2498016e+01
   2.6750000e-05   0.0000000e+00  -3.9294762e+01
   2.6812500e-05   6.0000000e+00  -3.3426063e+01
   2.6875000e-05   2.4185327e+01  -2.8333932e+01
   2.6937500e-05   2.6964011e+01  -3.4634506e+01
   2.7000000e-05   2.8130285e+01  -2.1535556e+01
   2.7062500e-05   2.7155573e+01  -2.6649307e+01
   2.7125000e-05   2.6093665e+01  -1.2000000e+01
   2.7187500e-05   3.6492752e+01  -1.1000000e+01
   2.7250000e-05   3.7299642e+01  -6.0000000e+00
   2.7312500e-05   3.9607152e+01   9.0000000e+00
   2.7375000e-05   3.4925033e+01   2.0000000e+00
   2.7437500e-05   3.5247592e+01   2.6284441e+01
   2.7500000e-05   2.3370570e+01   2.8952105e+01
   2.7562500e-05   1.8006560e+01   1.7247751e+01
   2.7625000e-05   2.0734213e+01   2.8574051e+01
   2.7687500e-05   1.0000000e+01   3.5654638e+01
   2.7750000e-05  -3.0000000e+00   3.2017192e+01
   2.7812500e-05  -4.0000000e+00   3.5731204e+01
   2.7875000e-05  -2.0000000e+00   2.4987892e+01
   2.7937500e-05  -1.0000000e+00   2.2874620e+01
   2.8000000e-05   1.2000000e+01   3.5027547e+01
   2.8062500e-05   1.1000000e+01   1.9584777e+01
   2.8125000e-05   2.6218853e+01   1.5793716e+01
   2.8187500e-05   2.3020327e+01   1.7230614e+01
   2.8250000e-05   3.3310597e+01  -6.0000000e+00
   2.8312500e-05   2.4486345e+01   8.0000000e+00
   2.8375000e-05   2.7445164e+01   1.8829254e+01
   2.8437500e-05   1.9603126e+01   2.7291159e+01
   2.8500000e-05   1.7640946e+01   2.1891690e+01
   2.8562500e-05   2.0655882e+01   2.1282894e+01
   2.8625000e-05  -3.0000000e+00   2.3183561e+01
   2.8687500e-05   1.1000000e+01   2.4329763e+01
   2.8750000e-05   2.0000000e+00   3.1199189e+01
   2.8812500e-05   1.2000000e+01   2.7206437e+01
   2.8875000e-05  -8.0000000e+00   3.4544171e+01
   2.8937500e-05  -5.0000000e+00   2.8305833e+01
   2.9000000e-05   7.0000000e+00   2.4845393e+01
   2.9062500e-05  -8.0000000e+00   1.7552159e+01
   2.9125000e-05   1.4884003e+01   1.6971456e+01
   2.9187500e-05   1.9045047e+01   1.8264146e+01
   2.9250000e-05   2.0988870e+01  -1.3000000e+01
   2.9312500e-05   1.8355280e+01   1.1000000e+01
   2.9375000e-05   3.0897125e+01   1.3133053e+01
   2.9437500e-05   1.3644701e+01  -1.3000000e+01
   2.9500000e-05   2.1761859e+01   1.6119654e+01
   2.9562500e-05   1.8652383e+01   1.7559548e+01
   2.9625000e-05  -1.0000000e+00   1.7045944e+01
   2.9687500e-05  -2.0000000e+00   1.9016813e+01
