Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P10        2x6_header,_right_angle       4365mil       2605mil       4365mil       2605mil       4615mil       2655mil  T        180.00 2 x 6 header   
C146       0402                   625mil       2435mil        625mil       2435mil    644.685mil       2435mil  T        180.00 0.1uF          
D8         1608[0603]            3575mil        625mil       3575mil        625mil   3547.441mil        625mil  T          0.00 LED2           
D7         1608[0603]            3575mil        550mil       3575mil        550mil   3547.441mil        550mil  T          0.00 LED2           
D6         1608[0603]            3575mil        475mil       3575mil        475mil   3547.441mil        475mil  T          0.00 LED2           
D5         1608[0603]            3575mil        400mil       3575mil        400mil   3547.441mil        400mil  T          0.00 LED2           
D4         1608[0603]            3575mil        325mil       3575mil        325mil   3547.441mil        325mil  T          0.00 LED2           
D3         1608[0603]            3575mil        250mil       3575mil        250mil   3547.441mil        250mil  T          0.00 LED2           
D2         1608[0603]            3575mil        175mil       3575mil        175mil   3547.441mil        175mil  T          0.00 LED2           
D1         1608[0603]            3575mil        100mil       3575mil        100mil   3547.441mil        100mil  T          0.00 LED2           
FB10       1608[0603]             480mil       2715mil        480mil       2715mil    452.441mil       2715mil  T        360.00 BLM18PG300SN1D 
J5         3002TR                3960mil        375mil       3960mil        375mil   3455.079mil        375mil  B        360.00 3002TR         
J6         TestPoint             4745mil        840mil       4745mil        840mil       4745mil        840mil  T          0.00 5004           
L1         0402                  2315mil       1710mil       2315mil       1710mil       2315mil   1690.315mil  B         90.00 33nH           
L2         0402                  3640mil       2025mil       3640mil       2025mil       3640mil   2005.315mil  B         90.00 33nH           
L3         0402                  2665mil       1285mil       2665mil       1285mil       2665mil   1265.315mil  B         90.00 33nH           
R1         0402                  3070mil       2685mil       3070mil       2685mil   3050.315mil       2685mil  B        360.00 10K            
R11        0402                  4715mil        745mil       4715mil        745mil       4715mil    725.315mil  B         90.00 270            
R12        0402                  4785mil        745mil       4785mil        745mil       4785mil    764.685mil  B        270.00 1.2K           
